mode	lambda_value	log_likelihood	delta_log_likelihood	within_95_confidence_interval	profile_lower_95_confidence_interval	profile_upper_95_confidence_interval	null_log_likelihood	brownian_log_likelihood
estimated	0.62	-444.85783329945	0.788685137186349	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.63	-444.772939818839	0.703791656575561	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.64	-444.691049523651	0.621901361387359	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.65	-444.612415184025	0.543267021761267	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.66	-444.537318598754	0.468170436490368	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.67	-444.466074222828	0.396926060564169	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.68	-444.399033391317	0.329885229053161	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.69	-444.336589255873	0.267441093609534	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.7	-444.279182577622	0.210034415358621	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.71	-444.227308555324	0.158160393060484	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.72	-444.181524912853	0.112376750588908	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.73	-444.142461528606	0.0733133663419494	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.74	-444.110831966074	0.0416838038100877	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.75	-444.087447365912	0.018299203648553	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.76	-444.07323329463	0.00408513236595809	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.77	-444.069250326507	0.000102164243401148	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.78	-444.076719382504	0.00757122023986767	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.79	-444.097053190522	0.0279050282586581	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.8	-444.131895706924	0.0627475446601693	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.81	-444.183172012371	0.114023850107515	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.82	-444.253152162747	0.18400400048381	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.83	-444.344533890011	0.275385727747505	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.84	-444.460551152332	0.391402990068741	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.85	-444.605118727878	0.535970565614321	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.86	-444.783028005802	0.713879843538564	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.87	-445.00021701738	0.931068855116791	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.88	-445.264150652656	1.1950024903922	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.89	-445.584368778123	1.5152206158595	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.9	-445.973298035889	1.90414987362544	true	0.51	0.9	-456.310146563131	-474.563014783386
